ID;shipment_ID;timestamp;eventType;location;notes
b6f3c0e0-1000-4000-8000-000000000001;a6f3c0e0-0001-4000-8000-000000000001;2025-02-01T09:00:00Z;picked_up;Berlin DC;Collected from origin warehouse
b6f3c0e0-1000-4000-8000-000000000002;a6f3c0e0-0001-4000-8000-000000000001;2025-02-04T08:00:00Z;arrived_hub;Paris CDG;Arrived at regional hub
b6f3c0e0-1000-4000-8000-000000000003;a6f3c0e0-0001-4000-8000-000000000001;2025-02-04T13:20:00Z;delivered;Reims;Signed for by M. Leclerc
b6f3c0e0-1000-4000-8000-000000000004;a6f3c0e0-0001-4000-8000-000000000002;2025-02-02T11:30:00Z;picked_up;Berlin DC;Collected from origin warehouse
b6f3c0e0-1000-4000-8000-000000000005;a6f3c0e0-0001-4000-8000-000000000002;2025-02-04T08:10:00Z;arrived_hub;Cologne;Transit scan
b6f3c0e0-1000-4000-8000-000000000006;a6f3c0e0-0001-4000-8000-000000000003;2025-02-03T10:00:00Z;picked_up;Hamburg DC;Collected from origin warehouse
b6f3c0e0-1000-4000-8000-000000000007;a6f3c0e0-0001-4000-8000-000000000003;2025-02-06T07:45:00Z;out_for_delivery;Rio de Janeiro;On vehicle for delivery
b6f3c0e0-1000-4000-8000-000000000008;a6f3c0e0-0001-4000-8000-000000000004;2025-02-04T09:30:00Z;picked_up;Berlin DC;Collected from origin warehouse
b6f3c0e0-1000-4000-8000-000000000009;a6f3c0e0-0001-4000-8000-000000000004;2025-02-06T16:30:00Z;exception;Lyon hub;Address refused — returning to sender
b6f3c0e0-1000-4000-8000-000000000010;a6f3c0e0-0001-4000-8000-000000000005;2025-02-05T08:00:00Z;picked_up;Berlin DC;Collected from origin warehouse
b6f3c0e0-1000-4000-8000-000000000011;a6f3c0e0-0001-4000-8000-000000000005;2025-02-08T11:10:00Z;delivered;Charleroi;Left with reception desk
b6f3c0e0-1000-4000-8000-000000000012;a6f3c0e0-0001-4000-8000-000000000006;2025-02-06T12:00:00Z;picked_up;Rotterdam Port;Ocean freight booked
b6f3c0e0-1000-4000-8000-000000000013;a6f3c0e0-0001-4000-8000-000000000006;2025-02-08T09:00:00Z;departed_port;Rotterdam Port;Vessel Pacific Dawn departed
b6f3c0e0-1000-4000-8000-000000000014;a6f3c0e0-0001-4000-8000-000000000007;2025-02-07T10:30:00Z;picked_up;Hamburg DC;Collected from origin warehouse
b6f3c0e0-1000-4000-8000-000000000015;a6f3c0e0-0001-4000-8000-000000000007;2025-02-10T14:00:00Z;delivered;Bern;Signed for by reception
b6f3c0e0-1000-4000-8000-000000000016;a6f3c0e0-0001-4000-8000-000000000009;2025-02-09T09:00:00Z;picked_up;Hamburg DC;Collected from origin warehouse
b6f3c0e0-1000-4000-8000-000000000017;a6f3c0e0-0001-4000-8000-000000000009;2025-02-12T10:20:00Z;delivered;Resende;Delivered to loading bay
b6f3c0e0-1000-4000-8000-000000000018;a6f3c0e0-0001-4000-8000-000000000010;2025-02-10T11:00:00Z;picked_up;Hamburg DC;Collected from origin warehouse
b6f3c0e0-1000-4000-8000-000000000019;a6f3c0e0-0001-4000-8000-000000000010;2025-02-12T19:30:00Z;customs_hold;Caracas;Awaiting import clearance
